# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
1001.1290873; 18.9802836; 48.5911176; -2.4197019; 0.0231370; 19.1241262; -0.7665770
1001.6289021; 19.3127363; 48.2178795; -2.4081546; 0.0230671; 19.1040810; -0.8413554
1002.1287170; 19.6494753; 47.8484936; -2.3966422; 0.0229984; 19.0820561; -0.9464700
1002.6285318; 19.9904442; 47.4829970; -2.3851617; 0.0229384; 19.0572492; -1.0772139
1003.1283466; 20.3355880; 47.1214271; -2.3737095; 0.0228839; 19.0289761; -1.2258177
1003.6281614; 20.6848526; 46.7638217; -2.3622812; 0.0228421; 18.9967515; -1.3914681
1004.1279763; 21.0380972; 46.4103017; -2.3508975; 0.0227139; 18.9601059; -1.5387366
1004.6277911; 21.3953380; 46.0608128; -2.3395576; 0.0226764; 18.9194992; -1.6750167
1005.1276059; 21.7565109; 45.7153862; -2.3283040; 0.0223026; 18.8751968; -1.7989429
1005.6274207; 22.1215045; 45.3740174; -2.3172424; 0.0219963; 18.8275005; -1.9097332
1006.1272355; 22.4902693; 45.0366606; -2.3062083; 0.0223767; 18.7767343; -2.0083458
1006.6270504; 22.8628335; 44.7034075; -2.2948462; 0.0230743; 18.7231981; -2.0961540
1007.1268652; 23.2392296; 44.3744627; -2.2831435; 0.0237075; 18.6671575; -2.1741872
1007.6266800; 23.6194972; 44.0500020; -2.2711501; 0.0242666; 18.6088524; -2.2432167
1008.1264948; 24.0036670; 43.7301831; -2.2588814; 0.0248072; 18.5485041; -2.3039792
1008.6263096; 24.3917541; 43.4151675; -2.2463532; 0.0253200; 18.4863159; -2.3570087
1009.1261245; 24.7837676; 43.1051112; -2.2335713; 0.0258344; 18.4224792; -2.4028376
1009.6259393; 25.1797176; 42.8001671; -2.2205336; 0.0263573; 18.3571728; -2.4442118
1010.1257541; 25.5797470; 42.5003907; -2.2072316; 0.0268797; 18.2905026; -2.4715986
1010.6255689; 25.9837860; 42.2060020; -2.1936647; 0.0274058; 18.2228374; -2.4890239
1011.1253838; 26.3918293; 41.9171694; -2.1798324; 0.0279321; 18.1544403; -2.4945501
1011.6251986; 26.8038672; 41.6340621; -2.1657361; 0.0284543; 18.0856317; -2.4856319
1012.1250134; 27.2198857; 41.3568488; -2.1513795; 0.0289677; 18.0168078; -2.4591650
1012.6248282; 27.6398660; 41.0856960; -2.1367691; 0.0294663; 17.9484570; -2.4117994
1013.1246430; 28.0637847; 40.8207670; -2.1219144; 0.0299429; 17.8811690; -2.3403883
1013.6244579; 28.4916122; 40.5622200; -2.1068288; 0.0303884; 17.8156303; -2.2425582
1014.1242727; 28.9233121; 40.3102063; -2.0915308; 0.0307914; 17.7526042; -2.1174604
1014.6240875; 29.3588393; 40.0648685; -2.0760449; 0.0311377; 17.6928878; -1.9667589
