# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
97.4377352; 111.7821277; 70.8518477; -0.3628622; 0.0320465; 17.3653231; 0.5290485
98.9367772; 112.2805656; 72.2660558; -0.3149113; 0.0318654; 17.4109328; 0.5319562
100.4358193; 112.7109748; 73.7022686; -0.2675906; 0.0312393; 17.4566729; 0.5299183
101.9348614; 113.0737585; 75.1569091; -0.2214739; 0.0302944; 17.5021190; 0.5135218
103.4339035; 113.3705192; 76.6260010; -0.1777057; 0.0281661; 17.5460466; 0.8043998
104.9329455; 113.6047227; 78.1064037; -0.1364287; 0.0262600; 17.6146362; 3.6025108
106.4319876; 113.7839783; 79.5946312; -0.1064579; 0.0129435; 17.9185948; 5.4071375
107.9310297; 113.9374960; 81.0858897; -0.1043937; -0.0087593; 18.3653776; 3.8659268
109.4300718; 114.1065335; 82.5754041; -0.1236101; -0.0164288; 18.6782619; 2.6808277
110.9291139; 114.3110565; 84.0604347; -0.1510351; -0.0199613; 18.8921892; 1.4039713
112.4281559; 114.5594588; 85.5387589; -0.1823890; -0.0218088; 19.0032639; -0.1486400
113.9271980; 114.8559188; 87.0082094; -0.2161052; -0.0231303; 18.9915350; -0.9163641
115.4262401; 115.2030536; 88.4665305; -0.2515181; -0.0240745; 18.9190662; -0.9832928
116.9252822; 115.6025038; 89.9114067; -0.2880907; -0.0246971; 18.8409944; -0.9236289
118.4243243; 116.0551225; 91.3405228; -0.3254626; -0.0251363; 18.7673641; -0.2991346
119.9233663; 116.5612148; 92.7515810; -0.3633439; -0.0253656; 18.7434555; 0.2227634
121.4224084; 117.1205256; 94.1423744; -0.4013824; -0.0253716; 18.7612629; 0.2199083
122.9214505; 117.7322758; 95.5108457; -0.4393685; -0.0253088; 18.7788256; 0.2557514
124.4204926; 118.3954365; 96.8550349; -0.4772426; -0.0252217; 18.7992302; 0.3619606
125.9195347; 119.1088363; 98.1730646; -0.5149394; -0.0250729; 18.8280706; 0.5750152
127.4185767; 119.8711160; 99.4631953; -0.5523299; -0.0248127; 18.8737963; 0.8900519
128.9176188; 120.6806549; 100.7239101; -0.5892107; -0.0244240; 18.9443564; 1.2186242
130.4166609; 121.5356633; 101.9540552; -0.6255098; -0.0241974; 19.0405403; 1.4399554
131.9157030; 122.4343260; 103.1518383; -0.6620239; -0.0249746; 19.1535710; 1.5019753
133.4147451; 123.3768896; 104.3151525; -0.6998561; -0.0248419; 19.2707636; 1.4407120
134.9137871; 124.3628945; 105.4437781; -0.7359321; -0.0236038; 19.3825103; 1.3240228
