# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
170.7759838; 270.6747379; 52.8814477; -1.7428556; 0.0022490; 28.8758391; 4.7788662
173.7720537; 273.6284684; 52.3797080; -1.7348290; 0.0031084; 29.3674942; 4.7609689
176.7681236; 276.5866515; 51.9055585; -1.7241866; 0.0039951; 29.8492564; 1.5056210
179.7641935; 279.5501719; 51.4669301; -1.7108315; 0.0049208; 30.0000000; 0.0000000
182.7602634; 282.5197382; 51.0721241; -1.6946289; 0.0058976; 30.0000000; 0.0000000
185.7563333; 285.4957323; 50.7299304; -1.6754164; 0.0069348; 30.0000000; 0.0000000
188.7524032; 288.4782292; 50.4497241; -1.6529796; 0.0080427; 30.0000000; 0.0000000
191.7484731; 291.4671508; 50.2414827; -1.6271947; 0.0090176; 30.0000000; 0.0000000
194.7445430; 294.4610468; 50.1130850; -1.6000760; 0.0090936; 30.0000000; 0.0000000
197.7406128; 297.4571767; 50.0663066; -1.5726883; 0.0091845; 30.0000000; 0.0000000
200.7366827; 300.4534480; 50.1019421; -1.5450890; 0.0092162; 30.0000000; 0.0000000
203.7327526; 303.4475081; 50.2200571; -1.5177453; 0.0089166; 30.0000000; 0.0000000
206.7288225; 306.4373526; 50.4170155; -1.4929459; 0.0074586; 30.0000000; 0.0000000
209.7248924; 309.4219945; 50.6791136; -1.4749184; 0.0045090; 30.0000000; 0.0000000
212.7209623; 312.4025376; 50.9809343; -1.4665600; 0.0010806; 30.0000000; 0.0000000
215.7170322; 315.3811633; 51.2924806; -1.4682662; -0.0022857; 30.0000000; 0.0000000
218.7131021; 318.3598890; 51.5832205; -1.4803215; -0.0050264; 30.0000000; -7.2986016
221.7091720; 321.3434460; 51.8332099; -1.4933275; -0.0033176; 29.2620191; -9.6531914
224.7052419; 324.3328576; 52.0552097; -1.4984857; -0.0003655; 28.2563707; -11.4672491
227.7013118; 327.3235183; 52.2728630; -1.4969432; 0.0013551; 27.0131288; -10.4886438
230.6973817; 330.3128050; 52.5024732; -1.4905522; 0.0028914; 25.8236269; -9.7357733
233.6934515; 333.2987671; 52.7576958; -1.4797881; 0.0043459; 24.6682304; -8.8143212
236.6895214; 336.2801135; 53.0522316; -1.4638529; 0.0063577; 23.5733949; -7.8181786
239.6855913; 339.2554209; 53.4037104; -1.4413517; 0.0088431; 22.5578662; -5.7928161
242.6816612; 342.2198441; 53.8372199; -1.4072457; 0.0137163; 21.7748930; -5.6679150
245.6777311; 345.1626206; 54.3826766; -1.3689033; 0.0113930; 20.9805392; -7.1008296
248.6738010; 348.0854666; 55.0255889; -1.3420729; 0.0067368; 19.9407588; -9.5406937
251.6698709; 350.9948960; 55.7292461; -1.3260040; 0.0055198; 18.4516853; -8.8958995
254.6659408; 353.8887064; 56.4877446; -1.2998856; 0.0114347; 16.9457729; -8.8904448
257.6620107; 356.7612890; 57.3437150; -1.2613395; 0.0135601; 15.2933460; -8.9108424
260.6580806; 359.6057369; 58.3161142; -1.2217256; 0.0131788; 13.4347094; -6.7286127
263.6541505; 362.3797573; 59.4293395; -1.1441444; 0.0382314; 11.8394523; -3.4584552
266.6502204; 365.0116745; 60.8639185; -0.9819510; 0.0721328; 10.9292764; -2.4717580
269.6462902; 367.2887180; 62.8307876; -0.7266531; 0.0916841; 10.2292699; -2.2531378
272.6423601; 368.9344229; 65.3664406; -0.4183693; 0.1031762; 9.5465621; -0.0567480
275.6384300; 369.6964576; 68.3377908; -0.0697032; 0.1321632; 9.5287358; -0.0567480
278.6344999; 369.2408122; 71.0245736; 0.1858765; -0.0859512; 9.5108760; 4.1685993
281.6305698; 368.1534388; 73.7304407; 0.5399209; 0.0690690; 10.7440957; 3.9548365
284.6266397; 366.2558675; 76.2497912; 0.7512971; 0.0673056; 11.7954875; 1.2884520
287.6227096; 363.9693891; 78.2111482; 0.9822827; 0.0817137; 12.1183378; -0.0917838
290.6187795; 361.3306662; 79.5705060; 1.1969742; 0.0604716; 12.0956244; 3.0613087
293.6148494; 358.4731453; 80.4446208; 1.3361162; 0.0317138; 12.8315205; 5.1970951
296.6109193; 355.5320149; 81.0141805; 1.4187661; 0.0234300; 13.9924851; 5.1776315
299.6069892; 352.5564024; 81.3694728; 1.4834850; 0.0198805; 15.0603695; 5.1582408
302.6030591; 349.5655095; 81.5461818; 1.5386908; 0.0170242; 16.0537731; 5.1389227
305.5991289; 346.5696486; 81.5698630; 1.5858312; 0.0144534; 16.9857815; 5.1196770
308.5951988; 343.5758727; 81.4635793; 1.6256017; 0.0121333; 17.8660179; 5.1005034
311.5912687; 340.5881084; 81.2484212; 1.6587244; 0.0100029; 18.7018053; 5.0814015
314.5873386; 337.6082739; 80.9437376; 1.6856789; 0.0080121; 19.4988715; 5.0623713
317.5834085; 334.6366583; 80.5675503; 1.7068279; 0.0061196; 20.2617972; 5.0434122
320.5794784; 331.6723978; 80.1368852; 1.7224130; 0.0042926; 20.9943149; 5.0245242
323.5755483; 328.7138046; 79.6680867; 1.7325814; 0.0024997; 21.6995141; 5.0057069
326.5716182; 325.7586449; 79.1771102; 1.7374008; 0.0007225; 22.3799867; 4.9869601
329.5676881; 322.8044401; 78.6797931; 1.7368387; -0.0010925; 23.0379332; 4.9682835
332.5637580; 319.8485646; 78.1921551; 1.7308554; -0.0028856; 23.6752406; 4.9496769
335.5598279; 316.8888128; 77.7305577; 1.7191229; -0.0049365; 24.2935418; 4.9311399
338.5558978; 313.9229774; 77.3117514; 1.7024791; -0.0060966; 24.8942614; 4.9126723
341.5519676; 310.9497975; 76.9468953; 1.6828993; -0.0069597; 25.4786513; 4.8942740
344.5480375; 307.9692460; 76.6442748; 1.6605356; -0.0079975; 26.0478184; 4.8759445
347.5441074; 304.9819257; 76.4131348; 1.6349553; -0.0090830; 26.6027477; 2.8479565
350.5401773; 301.9889315; 76.2633418; 1.6061169; -0.0101592; 26.9215813; -4.6352083
353.5362472; 298.9923079; 76.2047202; 1.5740878; -0.0111915; 26.4006955; -4.2396878
356.5323171; 295.9950964; 76.2466801; 1.5390187; -0.0121801; 25.9150906; -3.9232647
359.5283870; 293.0013058; 76.3980867; 1.5010604; -0.0130875; 25.4574777; -3.7173968
362.5244569; 290.0158603; 76.6668596; 1.4605669; -0.0138601; 25.0161550; -3.6365069
365.5205268; 287.0444236; 77.0594170; 1.4180045; -0.0144714; 24.5767685; -3.6319533
368.5165967; 284.0931246; 77.5804041; 1.3738949; -0.0149025; 24.1299478; -3.6692045
371.5126666; 281.1682610; 78.2325336; 1.3288172; -0.0151265; 23.6699809; -3.8426960
374.5087365; 278.2760083; 79.0163844; 1.2834450; -0.0151103; 23.1784819; -4.1706255
377.5048063; 275.4223779; 79.9301149; 1.2385003; -0.0148461; 22.6329638; -4.6600664
380.5008762; 272.6128123; 80.9693640; 1.1947331; -0.0144436; 22.0074370; -5.2586669
383.4969461; 269.8529237; 82.1282523; 1.1518840; -0.0142156; 21.2794881; -5.4996636
386.4930160; 267.1478473; 83.4025339; 1.1082838; -0.0161071; 20.4905310; -3.7184075
389.4890859; 264.5060516; 84.8075021; 1.0530067; -0.0214550; 19.9394244; -2.7774955
392.4851558; 261.9559328; 86.3790538; 0.9824733; -0.0248350; 19.5176203; -2.4786141
395.4812257; 259.5287241; 88.1358352; 0.9052211; -0.0266337; 19.1333557; -2.2374044
398.4772956; 257.2492103; 90.0805451; 0.8229306; -0.0283063; 18.7797354; -1.9700391
401.4733655; 255.1428393; 92.2111409; 0.7355649; -0.0300493; 18.4627655; -1.6758207
404.4694354; 253.2372592; 94.5213076; 0.6429757; -0.0318317; 18.1887866; -1.3153298
407.4655053; 251.5600317; 97.0025660; 0.5448829; -0.0337096; 17.9708186; -0.8394200
410.4615752; 250.1414226; 99.6403857; 0.4409341; -0.0357300; 17.8303224; -0.2506934
413.4576450; 249.0128513; 102.4147441; 0.3306559; -0.0377572; 17.7881480; -0.1970235
416.4537149; 248.2038622; 105.2986446; 0.2159080; -0.0380665; 17.7549321; -0.1970235
419.4497848; 247.7250869; 108.2559154; 0.1067562; -0.0345971; 17.7216541; 0.9382648
422.4458547; 247.5544167; 111.2471387; 0.0092683; -0.0305026; 17.8795760; 2.0491566
425.4419246; 247.6575993; 114.2411302; -0.0762096; -0.0265714; 18.2197165; 2.9719243
428.4379945; 247.9983897; 117.2165495; -0.1499773; -0.0227908; 18.7020388; 3.8099390
431.4340644; 248.5407268; 120.1607771; -0.2121885; -0.0184730; 19.3027444; 4.8841471
434.4301343; 249.2430382; 123.0669787; -0.2590255; -0.0124457; 20.0465068; 5.0488360
437.4262042; 250.0574082; 125.9453808; -0.2921632; -0.0111614; 20.7873944; 5.0299276
440.4222741; 250.9675128; 128.8003048; -0.3244840; -0.0102217; 21.5001348; 5.0110901
443.4183440; 251.9642654; 131.6265584; -0.3527971; -0.0086353; 22.1874502; 4.9923232
446.4144139; 253.0328401; 134.4259974; -0.3752400; -0.0062686; 22.8516443; 4.9736265
449.4104837; 254.1537158; 137.2055974; -0.3899264; -0.0034657; 23.4946869; 4.9549998
452.4065536; 255.3037303; 139.9744256; -0.3958548; -0.0004254; 24.1182786; 2.9634259
455.4026235; 256.4577416; 142.7427587; -0.3925071; 0.0026758; 24.4836399; -9.2427548
458.3986934; 257.5897609; 145.5208238; -0.3798784; 0.0056929; 23.3251955; -8.1004620
461.3947633; 258.6741269; 148.3178682; -0.3584108; 0.0084945; 22.2604053; -7.3417496
464.3908332; 259.6865991; 151.1412417; -0.3289882; 0.0109415; 21.2493024; -6.9863008
467.3869031; 260.6055714; 153.9956054; -0.2929647; 0.0128634; 20.2403054; -6.9807697
470.3829730; 261.4135901; 156.8821990; -0.2522691; 0.0140651; 19.1791610; -7.0196856
473.3790429; 262.0989542; 159.7976204; -0.2092631; 0.0145210; 18.0493013; -7.4339183
476.3751128; 262.6564021; 162.7358016; -0.1653830; 0.0151922; 16.7699791; -7.6145346
479.3711827; 263.0774356; 165.6901212; -0.1154927; 0.0192386; 15.3494249; -5.3545183
482.3672526; 263.3217952; 168.6708632; -0.0403294; 0.0332777; 14.2660374; -3.5976938
485.3633224; 263.2725467; 171.6687489; 0.0798034; 0.0468012; 13.4893269; -2.2855859
488.3593923; 262.8083870; 174.6282981; 0.2369344; 0.0583574; 12.9717535; -0.8591727
491.3554622; 261.8413241; 177.4601198; 0.4265088; 0.0689241; 12.7717699; -0.1015684
494.3515321; 260.3223424; 180.0396950; 0.6410383; 0.0738418; 12.7479212; -0.1015684
497.3476020; 258.2864668; 182.2406476; 0.8468882; 0.0632492; 12.7240277; 1.6587115
500.3436719; 255.8756318; 184.0194002; 1.0171140; 0.0504401; 13.1087800; 3.2249618
503.3397418; 253.2435482; 185.4093755; 1.1505650; 0.0462173; 13.8262263; 3.0454224
506.3358117; 250.4383936; 186.4340392; 1.2900190; 0.0455973; 14.4711137; 2.3204432
509.3318816; 247.5057607; 187.0739641; 1.4190689; 0.0401876; 14.9438131; 2.8858305
512.3279515; 244.5253312; 187.3594231; 1.5278983; 0.0327488; 15.5116038; 3.9699428
515.3240214; 241.5302152; 187.3564084; 1.6110174; 0.0231021; 16.2603291; 5.1347511
518.3200913; 238.5392779; 187.1503207; 1.6625228; 0.0117248; 17.1804089; 5.1155210
521.3161611; 235.5605885; 186.8434098; 1.6781127; -0.0009314; 18.0504672; -7.2413864
524.3122310; 232.5813839; 186.5472115; 1.6548273; -0.0145157; 16.8055933; -5.2282708
527.3083009; 229.5897840; 186.3801651; 1.5917911; -0.0275933; 15.8461174; -3.4036856
530.3043708; 226.5906043; 186.4587115; 1.4925407; -0.0378862; 15.1889459; -2.7022862
533.3004407; 223.6154333; 186.8768500; 1.3670290; -0.0439686; 14.6462146; -2.6451873
536.2965106; 220.7154878; 187.6873343; 1.2282033; -0.0466076; 14.0947249; -2.6249749
539.2925805; 217.9545188; 188.9018465; 1.0840259; -0.0471110; 13.5252376; -2.5451006
542.2886504; 215.4049228; 190.4867992; 0.9495906; -0.0366477; 12.9491874; -4.4830843
545.2847203; 213.0826947; 192.2613505; 0.9148717; 0.0054277; 11.8666839; -0.4103720
548.2807902; 210.8858455; 194.1969412; 0.7433444; -0.0843898; 11.7626179; -0.0861518
551.2768601; 209.1640081; 196.6728653; 0.4718580; -0.0870556; 11.7406535; -0.0861518
554.2729300; 208.1604120; 199.5119815; 0.2090650; -0.0840838; 11.7186480; 0.3672234
557.2689998; 207.9077620; 202.5013051; -0.0375520; -0.0770579; 11.8121618; 1.1611317
560.2650697; 208.3488240; 205.4691996; -0.2526751; -0.0669695; 12.1030917; 2.0984242
563.2611396; 209.3747567; 208.2825378; -0.4442297; -0.0617740; 12.6118548; 2.0748871
566.2572095; 210.8973929; 210.8649606; -0.6180336; -0.0553500; 13.0954914; 2.4007327
569.2532794; 212.8321829; 213.1763702; -0.7699747; -0.0448305; 13.6336870; 3.5508576
572.2493493; 215.0505050; 215.1963124; -0.8875570; -0.0308657; 14.3928682; 5.1705283
575.2454192; 217.4254434; 216.9798099; -0.9626157; -0.0216104; 15.4316942; 5.1511643
578.2414891; 219.9224917; 218.6097129; -1.0204983; -0.0178995; 16.4013317; 5.1318727
581.2375590; 222.5100513; 220.0954889; -1.0804362; -0.0218265; 17.3134219; 5.1126534
584.2336289; 225.1987261; 221.4144132; -1.1502400; -0.0241063; 18.1766420; 3.8290127
587.2296988; 227.9814866; 222.5387024; -1.2236199; -0.0242992; 18.7971884; 3.1934192
590.2257687; 230.8401484; 223.4574782; -1.2956952; -0.0234162; 19.2994743; 3.0453869
593.2218385; 233.7554955; 224.1728388; -1.3640046; -0.0219295; 19.7665903; 3.1875524
596.2179084; 236.7086185; 224.6944040; -1.4271625; -0.0202010; 20.2439707; 3.4651302
599.2139783; 239.6830473; 225.0363577; -1.4841096; -0.0168668; 20.7504673; 4.4683308
602.2100482; 242.6702515; 225.2322857; -1.5224963; -0.0092613; 21.3859009; 5.0141520
605.2061181; 245.6639881; 225.3427470; -1.5429462; -0.0046227; 22.0771886; 4.9953736
608.2021880; 248.6587749; 225.4106702; -1.5516688; -0.0016246; 22.7450046; 4.9766655
611.1982579; 251.6540663; 225.4620806; -1.5551633; -0.0008111; 23.3913683; 4.9580274
614.1943278; 254.6494478; 225.5057537; -1.5571097; -0.0004881; 24.0180204; 4.9394592
617.1903977; 257.6449075; 225.5450455; -1.5580895; -0.0001661; 24.6264742; 4.9209605
620.1864676; 260.6404145; 225.5828456; -1.5581068; 0.0001548; 25.2180554; 4.9025311
623.1825375; 263.6361964; 225.6220353; -1.5571776; 0.0004254; 25.7939328; 4.8841706
626.1786074; 266.6322396; 225.6648689; -1.5557843; 0.0005035; 26.3551437; 4.8658790
629.1746772; 269.6281709; 225.7122170; -1.5541663; 0.0005766; 26.9026138; 4.8476559
632.1707471; 272.6240052; 225.7647426; -1.5523269; 0.0006511; 27.4371729; 4.8295010
635.1668170; 275.6197019; 225.8231111; -1.5502654; 0.0007250; 27.9595691; 4.8114141
638.1628869; 278.6152292; 225.8879862; -1.5479823; 0.0007991; 28.4704789; 4.7933949
641.1589568; 281.6105510; 225.9600312; -1.5454776; 0.0008730; 28.9705171; 4.7754432
644.1550267; 284.6056297; 226.0399088; -1.5427514; 0.0009470; 29.4602441; 4.7575588
647.1510966; 287.6004263; 226.1282817; -1.5398037; 0.0010211; 29.9401727; 0.5984603
650.1471665; 290.5949005; 226.2258127; -1.5366343; 0.0010952; 30.0000000; 0.0000000
653.1432364; 293.5890110; 226.3331649; -1.5332430; 0.0011694; 30.0000000; 0.0000000
656.1393063; 296.5827156; 226.4510027; -1.5296295; 0.0012437; 30.0000000; 0.0000000
659.1353762; 299.5759700; 226.5799916; -1.5257927; 0.0013186; 30.0000000; 0.0000000
