# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
113.7927460; 36.6901221; 138.2060894; 0.3302083; -0.1337837; 14.5416428; 0.1926209
115.7891100; 36.3521638; 140.1419846; -0.0126131; -0.2403343; 14.5680630; 0.1871014
117.7854740; 36.8317678; 142.0129136; -0.4530499; -0.1589568; 14.5936803; 0.1435216
119.7818379; 37.9132186; 143.6956881; -0.6607683; -0.0721327; 14.6133003; 0.1130131
121.7782019; 39.2321365; 145.1922502; -0.7735657; -0.0425839; 14.6287312; 0.0963065
123.7745659; 40.6879039; 146.5765627; -0.8423093; -0.0269218; 14.6418681; 0.0895128
125.7709298; 42.2248104; 147.8840210; -0.8862155; -0.0168374; 14.6540678; 0.0939833
127.7672938; 43.7900214; 149.1266533; -0.9102849; -0.0075992; 14.6668658; 0.1473130
129.7636578; 45.3824487; 150.3499673; -0.9195893; -0.0023803; 14.6869035; 0.2206876
131.7600217; 46.9725600; 151.5593061; -0.9207036; -0.0002697; 14.7168706; 0.3347518
133.7563857; 48.5563624; 152.7607092; -0.9238857; -0.0030033; 14.7622103; 0.5494026
135.7527497; 50.1594687; 153.9629325; -0.9311576; -0.0041856; 14.8363226; 0.6641660
137.7491136; 51.7670171; 155.1474552; -0.9408780; -0.0056852; 14.9254247; 0.7519639
139.7454776; 53.3847312; 156.3113104; -0.9540093; -0.0075155; 15.0256676; 0.7995183
141.7418416; 55.0184816; 157.4499256; -0.9709028; -0.0094767; 15.1315216; 0.7989586
143.7382055; 56.6789756; 158.5610192; -0.9919958; -0.0116499; 15.2365669; 0.7730092
145.7345695; 58.3644306; 159.6328641; -1.0174866; -0.0138758; 15.3375157; 0.7435486
147.7309334; 60.0771387; 160.6565664; -1.0473637; -0.0160546; 15.4339941; 0.7136292
149.7272974; 61.8209275; 161.6244991; -1.0814443; -0.0180897; 15.5260266; 0.6869641
151.7236614; 63.5986379; 162.5290645; -1.1193524; -0.0198555; 15.6141078; 0.6659592
153.7200253; 65.4119679; 163.3631967; -1.1604183; -0.0212416; 15.6990241; 0.6504721
155.7163893; 67.2587424; 164.1196228; -1.2040622; -0.0223994; 15.7815245; 0.6446101
157.7127533; 69.1348335; 164.7923578; -1.2489521; -0.0225187; 15.8628581; 0.6472477
159.7091172; 71.0407094; 165.3811046; -1.2929590; -0.0212869; 15.9441071; 0.6574337
161.7054812; 72.9725641; 165.8889608; -1.3340576; -0.0199731; 16.0262131; 0.6744348
163.7018452; 74.9242910; 166.3194698; -1.3730231; -0.0190360; 16.1100075; 0.7000094
165.6982091; 76.8899971; 166.6752306; -1.4102099; -0.0182296; 16.1965208; 0.7397442
167.6945731; 78.8646350; 166.9587959; -1.4459138; -0.0175948; 16.2874456; 0.7774504
169.6909371; 80.8499054; 167.1730071; -1.4805467; -0.0171085; 16.3824611; 0.8183887
171.6873010; 82.8420148; 167.3192640; -1.5143586; -0.0167622; 16.4818881; 0.8625251
173.6836650; 84.8372117; 167.3986842; -1.5475956; -0.0165512; 16.5860322; 0.9244985
175.6800290; 86.8339015; 167.4121079; -1.5805187; -0.0164536; 16.6969379; 0.9813100
177.6763929; 88.8309752; 167.3598445; -1.6134168; -0.0165010; 16.8138585; 1.0369970
179.6727569; 90.8249773; 167.2417601; -1.6465258; -0.0166482; 16.9365370; 1.0963176
181.6691209; 92.8119709; 167.0575881; -1.6800241; -0.0169801; 17.0652742; 1.1637601
183.6654848; 94.7904526; 166.8062941; -1.7144263; -0.0175328; 17.2008768; 1.2459926
185.6618488; 96.7649030; 166.4856163; -1.7490027; -0.0170497; 17.3448860; 1.3200189
187.6582128; 98.7321725; 166.0947979; -1.7867576; -0.0224001; 17.4961581; 1.4136606
189.6545767; 100.6806518; 165.6140881; -1.8424301; -0.0339515; 17.6567242; 1.5380542
191.6509407; 102.5858638; 165.0007006; -1.9284555; -0.0527475; 17.8297768; 1.7063476
193.6473047; 104.4104671; 164.1867182; -2.0629319; -0.0841155; 18.0198203; 1.9350186
195.6436686; 106.0508105; 163.0848785; -2.2789449; -0.1334995; 18.2329352; 2.1734879
197.6400326; 107.3364941; 161.6066288; -2.5800927; -0.1413446; 18.4693820; 2.1223694
199.6363966; 108.2001399; 159.8280652; -2.7740445; -0.0635648; 18.6973826; 2.0340987
201.6327605; 108.8308322; 157.9096164; -2.8635993; -0.0314462; 18.9133212; 2.0205092
203.6291245; 109.3292692; 155.9903205; -2.9051620; -0.0123269; 19.1254036; 2.0413226
205.6254884; 109.7825959; 154.0425936; -2.9163077; 0.0007331; 19.3373087; 2.0624685
207.6218524; 110.2407862; 152.0848664; -2.9029992; 0.0130830; 19.5490763; 2.0836365
209.6182164; 110.7471104; 150.1536950; -2.8624309; 0.0279429; 19.7607130; 2.1176004
211.6145803; 111.3600461; 148.2422626; -2.7969092; 0.0377665; 19.9735019; 2.1611353
213.6109443; 112.1111662; 146.3902001; -2.7152150; 0.0399118; 20.1883532; 2.1985251
215.6073083; 113.0010518; 144.6126852; -2.6414537; 0.0349409; 20.4046004; 2.2222532
217.6036722; 114.0138454; 142.8994780; -2.5751031; 0.0314154; 20.6208770; 2.1887065
219.6000362; 115.1355100; 141.2468543; -2.5171445; 0.0264362; 20.8316941; 2.0655607
221.5964002; 116.3411769; 139.6577635; -2.4696481; 0.0212095; 21.0287113; 1.9254901
223.5927641; 117.6129325; 138.1210033; -2.4326725; 0.0158781; 21.2107204; 1.7697242
225.5891281; 118.9336765; 136.6242379; -2.4062579; 0.0106097; 21.3766388; 1.6034913
227.5854921; 120.2867660; 135.1548475; -2.3901977; 0.0054949; 21.5258679; 1.3844170
229.5818560; 121.6545453; 133.7019022; -2.3842076; 0.0005377; 21.6538817; 1.2072829
