# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
142.2585401; 226.6525565; 70.2701158; -1.7418324; 0.0261950; 18.6097036; -1.0691269
144.7543039; 229.1291763; 69.9243667; -1.6762232; 0.0280952; 18.4657654; -1.0998997
147.2500678; 231.6352507; 69.7525469; -1.6017535; 0.0302257; 18.3165038; -0.8727699
149.7458316; 234.1271641; 69.7712652; -1.5248748; 0.0300090; 18.1971936; 0.0048815
152.2415955; 236.5985499; 69.9729911; -1.4547752; 0.0272198; 18.1978631; 0.3940052
154.7373594; 239.0565865; 70.3415517; -1.3894298; 0.0262146; 18.2518193; 0.3731360
157.2331232; 241.4919484; 70.8706865; -1.3242300; 0.0262945; 18.3027711; 0.3258019
159.7288871; 243.8931609; 71.5599912; -1.2582333; 0.0264277; 18.3471436; 0.2541011
162.2246510; 246.2477905; 72.4082759; -1.1918656; 0.0260685; 18.3816765; 0.1900747
164.7204148; 248.5409703; 73.4079527; -1.1278225; 0.0252991; 18.4074657; 0.2005939
167.2161787; 250.7614578; 74.5482890; -1.0649225; 0.0252562; 18.4346430; 1.3467428
169.7119425; 252.9060582; 75.8250799; -1.0030956; 0.0242615; 18.6160782; 2.4268349
172.2077064; 254.9701258; 77.2272930; -0.9468377; 0.0202812; 18.9386373; 2.7612114
174.7034703; 256.9603135; 78.7330712; -0.9002155; 0.0179359; 19.2990840; 2.8602712
177.1992341; 258.8810364; 80.3265786; -0.8567128; 0.0168596; 19.6654969; 3.0204810
179.6949980; 260.7329402; 81.9993388; -0.8162019; 0.0154414; 20.0451636; 3.3602042
182.1907618; 262.5190949; 83.7417285; -0.7802677; 0.0133198; 20.4592555; 3.9034604
184.6865257; 264.2470871; 85.5425427; -0.7503833; 0.0106238; 20.9300111; 4.4501084
187.1822896; 265.9269939; 87.3887545; -0.7273104; 0.0078519; 21.4540953; 4.9083843
189.6780534; 267.5702357; 89.2675545; -0.7109598; 0.0053241; 22.0176870; 5.2162958
192.1738173; 269.1882608; 91.1679441; -0.7006426; 0.0029892; 22.6012351; 5.3381286
194.6695811; 270.7919244; 93.0802017; -0.6959912; 0.0007615; 23.1832104; 5.3177728
197.1653450; 272.3917827; 94.9953333; -0.6967707; -0.0012679; 23.7487906; 5.2398706
199.6611089; 273.9972276; 96.9054390; -0.7017372; -0.0026769; 24.2932092; 4.0643851
202.1568727; 275.6152522; 98.8060183; -0.7089867; -0.0031329; 24.7072359; 0.7045261
204.6526366; 277.2477094; 100.6944616; -0.7164745; -0.0027705; 24.7783003; -3.1508102
207.1484004; 278.8924338; 102.5710875; -0.7223968; -0.0018540; 24.4588800; -6.6151254
209.6441643; 280.5458916; 104.4404692; -0.7252841; -0.0002455; 23.7742976; -8.6264631
212.1399282; 282.1990872; 106.3071138; -0.7238706; 0.0009057; 22.8507767; -8.8935889
214.6356920; 283.8469581; 108.1757801; -0.7211730; 0.0021041; 21.8578453; -8.0060792
217.1314559; 285.4883307; 110.0590794; -0.7109333; 0.0061754; 20.9237386; -7.0140269
219.6272198; 287.0986448; 111.9671720; -0.6887865; 0.0114947; 20.0696818; -6.0507397
222.1229836; 288.6530671; 113.9186411; -0.6547234; 0.0157679; 19.3025825; -5.3014843
224.6187475; 290.1325124; 115.9338982; -0.6101461; 0.0198165; 18.6044937; -4.6799539
227.1145113; 291.5104879; 118.0206604; -0.5555023; 0.0235519; 17.9657192; -4.1778128
229.6102752; 292.7609908; 120.1814591; -0.4922629; 0.0268719; 17.3756553; -3.7937728
232.1060391; 293.8615585; 122.4149454; -0.4222987; 0.0294684; 16.8219106; -3.4903778
234.6018029; 294.7995978; 124.7298847; -0.3471432; 0.0307669; 16.2958387; -3.2355681
237.0975668; 295.5540930; 127.1089537; -0.2652634; 0.0348137; 15.7925276; -2.9735657
239.5933306; 296.0975692; 129.5357142; -0.1736974; 0.0384914; 15.3153940; -2.7408365
242.0890945; 296.4092729; 132.0046628; -0.0775250; 0.0385353; 14.8620433; -2.6054539
244.5848584; 296.4822885; 134.5008535; 0.0196231; 0.0399090; 14.4178756; -1.8655317
247.0806222; 296.3052853; 136.9953825; 0.1229121; 0.0419240; 14.0912485; -0.8144599
249.5763861; 295.8675026; 139.4571332; 0.2296510; 0.0429684; 13.9462498; -0.0741240
252.0721499; 295.1688181; 141.8548615; 0.3378452; 0.0434938; 13.9329786; 0.5711965
254.5679138; 294.2168199; 144.1588172; 0.4459911; 0.0437501; 14.0349220; 0.5582462
257.0636777; 293.0209305; 146.3444520; 0.5555745; 0.0442753; 14.1338437; 0.5088400
259.5594415; 291.5946951; 148.3878582; 0.6607637; 0.0393501; 14.2234112; 0.3753394
262.0552054; 289.9718600; 150.2769295; 0.7582072; 0.0390772; 14.2891197; 0.5133610
264.5509692; 288.1702168; 151.9961043; 0.8606328; 0.0413101; 14.3785047; 1.9744983
267.0467331; 286.2024394; 153.5265850; 0.9563850; 0.0351014; 14.7172403; 2.8925250
269.5424970; 284.1055025; 154.8817859; 1.0348582; 0.0289308; 15.1998448; 2.7081981
272.0382608; 281.9108790; 156.0791616; 1.1081433; 0.0295085; 15.6382009; 2.6473212
274.5340247; 279.6394340; 157.1119734; 1.1791486; 0.0275783; 16.0551395; 2.8266605
277.0297886; 277.3067348; 157.9861966; 1.2439601; 0.0244696; 16.4886888; 3.1026758
279.5255524; 274.9216490; 158.7178343; 1.3008172; 0.0209449; 16.9518126; 3.4065449
282.0213163; 272.4987295; 159.3242406; 1.3488272; 0.0174340; 17.4461404; 3.7151479
284.5170801; 270.0503527; 159.8246012; 1.3882259; 0.0141431; 17.9697545; 4.0169031
287.0128440; 267.5867062; 160.2378374; 1.4197502; 0.0111602; 18.5192484; 4.3358030
289.5086079; 265.1146946; 160.5817099; 1.4443252; 0.0085657; 19.0946286; 4.5916100
292.0043717; 262.6333734; 160.8726484; 1.4629555; 0.0064265; 19.6856290; 4.8144066
294.5001356; 260.1471553; 161.1237164; 1.4765350; 0.0044617; 20.2868242; 5.0082841
296.9958994; 257.6616617; 161.3467344; 1.4853897; 0.0029009; 20.8938800; 5.1594412
299.4916633; 255.1779204; 161.5511053; 1.4917066; 0.0022852; 21.5013422; 5.2168539
301.9874272; 252.6895687; 161.7404929; 1.4982361; 0.0029494; 22.0985924; 5.2462460
304.4831910; 250.1980940; 161.9121666; 1.5057842; 0.0030397; 22.6833545; 5.2852573
306.9789549; 247.7066139; 162.0648166; 1.5134659; 0.0031319; 23.2576026; 5.3180111
309.4747187; 245.2150050; 162.1979507; 1.5213947; 0.0032111; 23.8214416; 5.3440480
311.9704826; 242.7227248; 162.3111166; 1.5294661; 0.0032565; 24.3749060; 5.3633093
314.4662465; 240.2297015; 162.4040380; 1.5376254; 0.0032778; 24.9180085; 5.3755509
316.9620103; 237.7357714; 162.4765943; 1.5457924; 0.0032672; 25.4507242; 5.3781292
319.4577742; 235.2408304; 162.5288260; 1.5539294; 0.0032508; 25.9727635; 5.3610888
321.9535380; 232.7453389; 162.5609315; 1.5618751; 0.0031114; 26.4829089; 5.3541630
324.4493019; 230.2500991; 162.5738549; 1.5691760; 0.0026984; 26.9827708; 5.3424214
