# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
129.7538664; 181.4759009; 104.5105510; 1.0288500; 0.0473658; 27.7069188; 3.1163078
131.7500798; 179.7564315; 105.4310781; 1.1309390; 0.0515972; 27.9305385; 2.0942138
133.7462931; 177.9523665; 106.1818726; 1.2153865; 0.0327939; 28.0798143; 1.3423117
135.7425064; 176.0570211; 106.8259247; 1.2669941; 0.0203883; 28.1750786; 0.5402229
137.7387198; 174.0834178; 107.4050628; 1.3010425; 0.0122737; 28.2133276; -0.5343920
139.7349331; 172.1821127; 107.9111153; 1.3180933; 0.0055322; 28.1754917; -0.5336749
141.7311464; 170.1892114; 108.4175416; 1.3240871; 0.0005026; 28.1376558; -0.5438076
143.7273597; 168.2400894; 108.9101957; 1.3210730; -0.0033940; 28.0990492; -0.5455386
145.7235731; 166.3008554; 109.4144160; 1.3104924; -0.0072127; 28.0602662; -0.5159995
147.7197864; 164.3757401; 109.9448990; 1.2918869; -0.0114979; 28.0235339; 0.0804208
149.7159997; 162.3968707; 110.5400593; 1.2638899; -0.0159098; 28.0292620; 0.0804372
151.7122131; 160.5187802; 111.1721090; 1.2262071; -0.0227082; 28.0349900; 0.0469396
153.7084264; 158.6175496; 111.9118110; 1.1705374; -0.0306877; 28.0383321; 0.0035436
155.7046397; 156.7648515; 112.7717249; 1.0980121; -0.0425607; 28.0385844; -0.0048738
157.7008531; 155.0892146; 113.7376671; 0.9856796; -0.0791964; 28.0382374; -0.0224712
159.6970664; 153.5819220; 114.9442367; 0.7976364; -0.1016358; 28.0366375; -0.0282023
161.6932797; 152.3681405; 116.3756568; 0.6117405; -0.0871263; 28.0346294; -0.0288897
163.6894930; 151.3507440; 118.0616026; 0.4886871; -0.0447027; 28.0325723; -0.0286896
165.6857064; 150.4837936; 119.8603736; 0.4133507; -0.0329719; 28.0305292; -0.0297721
167.6819197; 149.7209135; 121.7614891; 0.3525879; -0.0248319; 28.0284089; -0.0308897
169.6781330; 149.0792847; 123.6291894; 0.3116913; -0.0172916; 28.0262088; -0.0302962
171.6743464; 148.4742047; 125.6164835; 0.2810428; -0.0125364; 28.0240508; -0.0106094
173.6705597; 147.9471497; 127.5185810; 0.2611149; -0.0078469; 28.0232951; -0.0106091
175.6667730; 147.4416513; 129.4609356; 0.2494027; -0.0039139; 28.0225393; 0.0313174
177.6629864; 146.9475583; 131.4230645; 0.2451979; -0.0002679; 28.0247702; 0.1105854
179.6591997; 146.4550581; 133.3831775; 0.2484030; 0.0035126; 28.0326461; 0.1106165
181.6554130; 145.9599241; 135.2963522; 0.2595417; 0.0079376; 28.0405220; 0.4110119
183.6516263; 145.4156662; 137.2647181; 0.2825096; 0.0152528; 28.0697668; 0.5434753
185.6478397; 144.8231240; 139.1736587; 0.3229635; 0.0258690; 28.1083901; 0.8665853
187.6440530; 144.1489802; 141.0060477; 0.3857398; 0.0355028; 28.1698664; 1.6361525
189.6402663; 143.3307268; 142.8368418; 0.4532681; 0.0307071; 28.2855721; 1.5750575
191.6364797; 142.4268748; 144.5718103; 0.5037949; 0.0197977; 28.3965120; 1.2618974
193.6326930; 141.4469055; 146.2898245; 0.5280040; 0.0048056; 28.4850825; 1.1293387
195.6289063; 140.4307822; 148.0317437; 0.5235533; -0.0091584; 28.5641161; -0.8075717
197.6251196; 139.4710858; 149.7519088; 0.4887965; -0.0257578; 28.5076228; -0.8059729
199.6213330; 138.5796391; 151.5622720; 0.4212097; -0.0409563; 28.4511295; -3.0669905
201.6175463; 137.8410522; 153.4060195; 0.3444430; -0.0326629; 28.2351206; -3.4987805
203.6137596; 137.2193066; 155.3101246; 0.2905175; -0.0214717; 27.9866649; -4.6420958
205.6099730; 136.6777343; 157.2495074; 0.2574834; -0.0113961; 27.6535745; -5.7609928
207.6061863; 136.1833168; 159.1910673; 0.2445067; -0.0015252; 27.2345340; -5.8475440
209.6023996; 135.6983611; 161.1194183; 0.2516766; 0.0085433; 26.8024990; -6.7203069
211.5986130; 135.1748374; 163.0632442; 0.2773696; 0.0171152; 26.2972169; -6.5924098
213.5948263; 134.5961076; 164.9528060; 0.3199877; 0.0260454; 25.7919349; -6.6951903
215.5910396; 133.9235462; 166.8200643; 0.3701898; 0.0231296; 25.2684358; -6.5836302
217.5872529; 133.1616077; 168.6656698; 0.4110256; 0.0176308; 24.7428614; -6.6073442
219.5834663; 132.3414607; 170.4685802; 0.4417827; 0.0142369; 24.2039223; -6.5360019
221.5796796; 131.4627123; 172.2631922; 0.4682631; 0.0123261; 23.6587266; -6.3251136
